일,롱패딩: (대한민국),원피스: (대한민국),여성롱패딩: (대한민국),남자롱패딩: (대한민국),잠옷: (대한민국),롱패딩: (대한민국),여자롱패딩: (대한민국),여성숏패딩: (대한민국),여성패딩: (대한민국),반팔티: (대한민국),롱패딩: (대한민국),숏패딩: (대한민국),트위드자켓: (대한민국),트렌치코트: (대한민국),여성경량패딩: (대한민국),롱패딩: (대한민국),핸드메이드코트: (대한민국),쥬시쥬디: (대한민국),블라우스: (대한민국),나이키바람막이: (대한민국),롱패딩: (대한민국),여성트레이닝세트: (대한민국),바람막이: (대한민국),후드집업: (대한민국),여자트렌치코트: (대한민국),롱패딩: (대한민국),롱원피스: (대한민국),써스데이아일랜드원피스: (대한민국),반바지: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),롱패딩: (대한민국),팬츠: (대한민국),가을원피스: (대한민국),나이키후드티: (대한민국),맨투맨: (대한민국),롱패딩: (대한민국),반팔티: (대한민국),아르마니익스체인지: (대한민국),루시앙: (대한민국),나이키맨투맨: (대한민국),롱패딩: (대한민국),하객원피스: (대한민국),리버클래시정장: (대한민국),dabagirl: (대한민국),후드티: (대한민국),롱패딩: (대한민국),나우포그니플리스: (대한민국),니트원피스: (대한민국),여성가디건: (대한민국),핸드메이드코트: (대한민국),롱패딩: (대한민국),후리스: (대한민국),패딩: (대한민국),여성경량패딩: (대한민국),남자경량패딩: (대한민국),롱패딩: (대한민국),노스페이스패딩: (대한민국),커플잠옷: (대한민국),수면잠옷: (대한민국),남자반팔티: (대한민국),롱패딩: (대한민국),여성린넨자켓: (대한민국),트위드자켓: (대한민국),메종키츠네반팔: (대한민국),여름원피스: (대한민국),롱패딩: (대한민국),라코스테원피스: (대한민국),여성점프수트: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),남자반바지: (대한민국)
2020-11-26,2,37,0,0,3,24,0,0,0,16,24,16,0,0,0,24,0,8,16,0,24,0,24,32,0,24,0,0,16,0,21,35,0,7,36,24,16,0,0,8,24,0,0,0,24,24,0,0,0,0,8,3,55,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0
2020-11-27,2,48,0,0,2,25,0,0,8,0,25,76,0,0,0,25,0,0,0,0,25,0,17,8,0,25,0,0,0,0,23,8,0,0,15,25,0,0,0,0,25,0,0,0,17,25,0,0,0,0,8,8,88,0,0,25,0,0,8,0,25,0,0,0,0,25,0,0,0,0
2020-11-28,2,25,1,0,1,20,0,0,10,0,20,49,0,0,0,20,0,0,20,0,20,0,20,10,0,20,0,0,0,0,18,61,0,0,35,20,0,0,0,10,20,0,0,0,29,20,0,0,0,0,6,6,67,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0
2020-11-29,2,35,1,0,3,18,0,0,0,9,18,45,0,0,0,18,0,0,9,0,18,0,18,9,0,18,0,0,27,0,16,57,0,0,41,18,9,0,0,0,18,0,0,0,27,18,0,0,0,0,6,6,65,0,0,18,9,0,9,0,18,0,0,0,0,18,0,0,0,9
2020-11-30,3,23,0,0,1,32,0,0,8,8,32,8,0,8,0,32,8,0,8,0,32,0,8,16,0,32,0,0,0,0,28,28,0,7,28,32,8,0,0,0,32,0,0,0,24,32,0,0,0,8,10,10,49,0,0,32,0,0,0,0,32,0,0,0,0,32,0,0,0,0
2020-12-01,4,26,0,0,3,40,0,0,8,16,40,63,0,8,0,40,0,0,0,0,40,0,8,16,0,40,0,0,0,0,35,42,0,0,50,40,16,0,8,8,40,0,0,0,16,40,0,0,0,0,13,0,80,0,0,40,0,0,0,0,40,0,0,0,0,40,0,0,0,0
2020-12-02,6,17,0,0,1,64,0,0,0,8,64,16,8,0,0,64,8,0,0,0,64,0,8,0,0,64,0,0,16,0,58,29,0,0,14,64,8,0,0,0,64,0,0,0,8,64,0,0,0,8,21,3,68,0,0,64,8,0,8,0,64,0,8,0,0,64,0,0,0,0
2020-12-03,2,36,0,0,0,24,0,0,8,0,24,32,0,0,0,24,0,0,0,0,24,0,8,16,0,24,8,0,0,0,22,36,0,7,7,24,0,0,0,8,24,0,0,0,32,24,0,0,0,0,8,8,45,0,0,24,0,0,0,0,24,0,0,0,0,24,0,0,0,0
2020-12-04,6,34,0,0,2,67,0,0,0,0,67,33,0,0,0,67,0,0,0,0,67,0,8,8,0,67,0,0,0,0,60,15,0,0,22,67,0,0,0,0,67,0,0,0,42,67,0,0,0,0,22,5,82,0,0,67,8,0,0,0,67,0,0,0,0,67,0,0,0,0
2020-12-05,4,38,0,0,1,39,0,0,10,0,39,10,0,10,0,39,0,0,0,0,39,0,10,29,0,39,0,0,29,0,35,35,0,0,9,39,0,0,0,0,39,0,0,0,10,39,0,0,0,0,13,3,70,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0
